created_django,modified_django,img_url,full_id,look_id,hype,created,country,hashtags
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2017/07/01/5210678_iPiccy-collageaA.jpg?1498874532,8766697-Zaful-Bomber-Jacket-Crop-Top-Embroidery-Love,8766697,86,2017-10-07 22:35:38.232433,Ireland,"embroidery,bomberjacket,jacket,jeans,denim"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2017/06/28/5209119_iPiccy-collage.jpg?1498611527,8763723-Twinkledeals-Sweatshirt-Different,8763723,49,2017-10-07 22:35:38.253382,Ireland,"red,camouflage,fashionist,fashion,blogger"
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/02/02/5411271_IMG_9297.jpg?1549116001,9143586-Dear-February,9143586,180,2019-02-07 22:35:41.992073,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/02/01/5411155_image.jpg?1549040729,9143378-Kate-Spade-Cats-Meow-Lottie-Leather-Grab-Bag,9143378,183,2019-02-07 22:35:42.008338,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/30/5410711_IMG_9259.jpg?1548844314,9142520-Can-T-Wait-For-February,9142520,109,2019-02-07 22:35:42.024895,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/28/5410307_IMG_9219.jpg?1548666224,9141738-Extraordinary-January,9141738,100,2019-02-07 22:35:42.042680,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/27/5410130_image.jpg?1548597034,9141412-Puma-Fierce-Core-Topshop-Bag-Forever-21-Scarves,9141412,154,2019-02-07 22:35:42.058177,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/20/5408957_image.jpg?1548010322,9139182-Pink-Cny,9139182,349,2019-01-07 22:35:42.077796,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/20/5408923_IMG_9145.jpg?1547992525,9139122-Smock-Top,9139122,95,2019-01-07 22:35:42.096788,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/20/5408872_2019-01-20_10.03.41_1.jpg?1547953470,9139024-Ready-For-Sch,9139024,150,2019-01-07 22:35:42.111369,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/14/5407850_image.jpg?1547488473,9137086-Match-The-Grass,9137086,257,2019-01-07 22:35:42.125819,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/14/5407811_image.jpg?1547472587,9137010-Puma-Rs-00-Formal-Twist-Ig-Xrzkix,9137010,24,2019-01-07 22:35:42.139727,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/11/5407205_IMG_9005.jpg?1547200123,9135880-Never-Imagi,9135880,78,2019-01-07 22:35:42.156142,Indonesia,
,,s3cdn-lookbooknu.netdna-ssl.com/files/looks/medium/2019/01/10/5406996_2017-03-25_03.07.22_1.jpg?1547103285,9135480-Name,9135480,112,2019-01-07 22:35:42.172068,Indonesia,
